rownb	customerkey	customer_name	customer_country	customer_city	customer_postalcode	customer_street	plantkey	full_address	latitude	longitude
185	185	Jerde Group	Germany	München	80337	09 Miller Junction	4	09 Miller Junction 80337 München Germany	48.14494112	11.57432641
186	186	Runte LLC	Belgium	Bruxelles	1170	0 Division Place	4	0 Division Place 1170 Bruxelles Belgium	50.80943298	4.40366602
187	187	Torphy, Smitham and Gaylord	Belgium	Antwerpen	2170	321 Towne Pass	4	321 Towne Pass 2170 Antwerpen Belgium	33.663665	-84.946034
188	188	Schumm-Reinger	Germany	Würzburg	97078	69757 Bluejay Park	4	69757 Bluejay Park 97078 Würzburg Germany	49.7978059	10.02352178
189	189	Thiel, Metz and Ernser	Germany	Hamburg	22111	60249 South Lane	4	60249 South Lane 22111 Hamburg Germany	53.54899597	10.08458042
190	190	Langosh Group	Germany	Hannover	30629	5 Novick Alley	4	5 Novick Alley 30629 Hannover Germany	52.365965	9.813482
191	191	O'Reilly Inc	Germany	Ludwigshafen am Rhein	67067	5 New Castle Lane	4	5 New Castle Lane 67067 Ludwigshafen am Rhein Germany	49.437267	7.725593
192	192	Wisoky-Fahey	Belgium	Tournai	7536	787 Vera Lane	4	787 Vera Lane 7536 Tournai Belgium	40.58011816	-80.5884992
193	193	Sawayn, Muller and O'Kon	Germany	Offenbach	63073	5 Daystar Parkway	4	5 Daystar Parkway 63073 Offenbach Germany	50.087392	8.812054
194	194	Miller, Weimann and Schowalter	Germany	Bremen	28239	00801 Cherokee Lane	4	00801 Cherokee Lane 28239 Bremen Germany	33.73284105	-85.13330785
195	195	McCullough LLC	Germany	Augsburg	86156	28815 Farragut Crossing	4	28815 Farragut Crossing 86156 Augsburg Germany	48.39466858	10.85702229
196	196	Schneider, Green and Green	Germany	Bremerhaven	27576	21 Scott Alley	4	21 Scott Alley 27576 Bremerhaven Germany	53.522296	8.638363
197	197	Marks, Nicolas and Swaniawski	Germany	Leipzig	4317	90 Kings Street	4	90 Kings Street 4317 Leipzig Germany	39.43311535	-79.35644541
198	198	Mueller, Koepp and Haag	Germany	Kiel	24118	8638 Sutteridge Lane	4	8638 Sutteridge Lane 24118 Kiel Germany	54.33857727	10.12615299
199	199	Fritsch-Harber	Germany	Freiburg im Breisgau	79106	74 Pawling Park	4	74 Pawling Park 79106 Freiburg im Breisgau Germany	48.05407341	7.77893362
200	200	Lindgren and Sons	Germany	Berlin	13509	49 Pankratz Point	4	49 Pankratz Point 13509 Berlin Germany	52.566965	13.316791
201	201	Kautzer Inc	Belgium	Antwerpen	2170	86 Norway Maple Pass	4	86 Norway Maple Pass 2170 Antwerpen Belgium	43.02089004	-88.36420886
202	202	Willms Group	Germany	Hamburg Harvestehude	20249	60206 Gale Terrace	4	60206 Gale Terrace 20249 Hamburg Harvestehude Germany	53.5732101	9.99940445
203	203	Trantow-Lemke	Belgium	Namur	5100	15 Jenna Circle	4	15 Jenna Circle 5100 Namur Belgium	50.4619296	4.8779542
204	204	Durgan-Gleichner	Germany	Nürnberg	90451	72584 Schurz Crossing	4	72584 Schurz Crossing 90451 Nürnberg Germany	49.47917974	11.10758195
205	205	Glover, Hamill and Hammes	Germany	München	80686	8 Badeau Circle	4	8 Badeau Circle 80686 München Germany	48.123699	11.53624
206	206	Jenkins, Langworth and Mitchell	Germany	München	81543	3454 Lukken Hill	4	3454 Lukken Hill 81543 München Germany	48.10874176	11.56555939
207	207	Kessler, McClure and Pfannerstill	Germany	Stuttgart	70374	176 Vernon Road	4	176 Vernon Road 70374 Stuttgart Germany	48.773004	9.275671
208	208	Spinka Group	Germany	Berlin	10823	8563 Melody Lane	4	8563 Melody Lane 10823 Berlin Germany	52.48617554	13.35069656
209	209	Torphy, Dicki and Bahringer	Germany	Würzburg	97078	2 Stang Terrace	4	2 Stang Terrace 97078 Würzburg Germany	49.822354	9.960908
210	210	Johns-Donnelly	Belgium	Momignies	6594	6082 Forest Run Trail	4	6082 Forest Run Trail 6594 Momignies Belgium	43.06422864	-88.51871968
211	211	Wiza LLC	Germany	Heilbronn	74080	14 Pearson Parkway	4	14 Pearson Parkway 74080 Heilbronn Germany	49.131641	9.193518
212	212	Gibson and Sons	Germany	Köln	51107	67 Dunning Avenue	4	67 Dunning Avenue 51107 Köln Germany	50.924515	7.095493
213	213	Kiehn, Monahan and Hilll	Germany	München	80995	108 Shasta Drive	4	108 Shasta Drive 80995 München Germany	48.2158589	11.534264
214	214	Ratke-Hackett	Belgium	Péruwelz	7604	36271 Derek Trail	4	36271 Derek Trail 7604 Péruwelz Belgium	33.79369354	-86.02088165
215	215	Morissette-Runolfsdottir	Germany	Köln	50935	917 Shasta Way	4	917 Shasta Way 50935 Köln Germany	40.24427092	-76.96999486
216	216	Auer LLC	Germany	Hannover	30453	703 Marquette Terrace	4	703 Marquette Terrace 30453 Hannover Germany	32.27519314	-90.01649916
217	217	Moore-Hammes	Germany	Berlin	10409	4980 Johnson Street	4	4980 Johnson Street 10409 Berlin Germany	42.77227909	-87.85482717
218	218	Kshlerin Inc	Germany	Hamburg	21037	711 Cottonwood Drive	4	711 Cottonwood Drive 21037 Hamburg Germany	53.606608	9.90662
219	219	Wunsch, Wiza and Stiedemann	Germany	Berlin	10823	95 Morning Way	4	95 Morning Way 10823 Berlin Germany	38.36940144	-75.14487259
220	220	Davis-Zemlak	Germany	Kiel	24118	94093 Hagan Crossing	4	94093 Hagan Crossing 24118 Kiel Germany	54.33857727	10.12615299
221	221	Ruecker, Cruickshank and Kerluke	Belgium	Tournai	7536	830 Sullivan Point	4	830 Sullivan Point 7536 Tournai Belgium	43.16708005	-76.30089311
222	222	Renner and Sons	Germany	Solingen	42659	61416 Bunting Crossing	4	61416 Bunting Crossing 42659 Solingen Germany	51.13834381	7.15325212
223	223	Kertzmann Inc	Germany	Hannover	30629	312 Westridge Street	4	312 Westridge Street 30629 Hannover Germany	52.39297867	9.84748173
224	224	Metz-O'Kon	Germany	Frankfurt am Main	60435	704 Graedel Drive	4	704 Graedel Drive 60435 Frankfurt am Main Germany	38.48563627	-85.53053055
225	225	Leannon LLC	Germany	Nürnberg	90411	9 Buena Vista Terrace	4	9 Buena Vista Terrace 90411 Nürnberg Germany	42.45579501	-75.08603376
226	226	Hettinger LLC	Germany	Hamburg Sankt Pauli	20459	427 3rd Pass	4	427 3rd Pass 20459 Hamburg Sankt Pauli Germany	53.5454726	9.9721596
227	227	Grant-Raynor	Germany	Hamburg	21037	7 Londonderry Trail	4	7 Londonderry Trail 21037 Hamburg Germany	53.478152	10.191785
228	228	Considine-Conroy	Belgium	Bruxelles	1050	15 Redwing Avenue	4	15 Redwing Avenue 1050 Bruxelles Belgium	50.834563	4.35634434
229	229	Walsh-Schiller	Germany	Leipzig	4317	0 Derek Crossing	4	0 Derek Crossing 4317 Leipzig Germany	51.33969116	12.37135601
230	230	Weber, Carroll and Kris	Germany	Hamburg	22453	0385 Lakewood Gardens Crossing	4	0385 Lakewood Gardens Crossing 22453 Hamburg Germany	53.61359406	9.9824667
231	231	O'Conner-Stokes	Germany	Münster	48161	1117 Walton Trail	4	1117 Walton Trail 48161 Münster Germany	27.01335682	-82.08284486
232	232	Buckridge Group	Germany	Wuppertal	42349	310 Blue Bill Park Terrace	4	310 Blue Bill Park Terrace 42349 Wuppertal Germany	34.77423096	-84.26206167
233	233	O'Connell-Rosenbaum	Germany	Stuttgart	70374	428 Lerdahl Road	4	428 Lerdahl Road 70374 Stuttgart Germany	48.777789	9.255374
234	234	Lynch-McDermott	Belgium	Gent	9052	67168 Columbus Plaza	4	67168 Columbus Plaza 9052 Gent Belgium	51.00054932	3.71635151
235	235	Graham Inc	Germany	Stuttgart	70567	3173 Ridgeview Park	4	3173 Ridgeview Park 70567 Stuttgart Germany	39.86209255	-76.66138009
236	236	Keeling, Windler and Kohler	Belgium	Ninove	9404	1 Waxwing Avenue	4	1 Waxwing Avenue 9404 Ninove Belgium	50.8395897	3.9584571
237	237	Thompson and Sons	Germany	Berlin	10179	3783 Chinook Plaza	4	3783 Chinook Plaza 10179 Berlin Germany	52.51205826	13.41633606
238	238	Rutherford and Sons	Germany	Wetzlar	35581	37 Johnson Crossing	4	37 Johnson Crossing 35581 Wetzlar Germany	50.557297	8.495803
239	239	Daniel-Runolfsdottir	Belgium	Péruwelz	7604	68 Garrison Center	4	68 Garrison Center 7604 Péruwelz Belgium	40.1303996	-87.70647535
240	240	Feeney-Miller	Germany	Ludwigshafen am Rhein	67067	7459 Acker Lane	4	7459 Acker Lane 67067 Ludwigshafen am Rhein Germany	49.4593521	8.41353055
241	241	Kuhn-Davis	Germany	Duisburg	47139	7 Fuller Park	4	7 Fuller Park 47139 Duisburg Germany	51.455603	6.698392
242	242	Rosenbaum Inc	Germany	Offenbach	63073	6 Longview Road	4	6 Longview Road 63073 Offenbach Germany	50.088593	8.8235
243	243	Klocko-Runte	Germany	Hamburg Harvestehude	20249	2373 Erie Road	4	2373 Erie Road 20249 Hamburg Harvestehude Germany	53.57766724	9.98895168
244	244	Considine-Haley	Germany	Bochum	44869	40 Manufacturers Hill	4	40 Manufacturers Hill 44869 Bochum Germany	-29.81671197	30.85952659
245	245	Abernathy and Sons	Germany	Essen	45356	87178 Sloan Terrace	4	87178 Sloan Terrace 45356 Essen Germany	51.49108505	6.9715085
246	246	Schmitt LLC	Germany	Hamburg	20359	9209 Killdeer Drive	4	9209 Killdeer Drive 20359 Hamburg Germany	53.55580902	9.96449471
247	247	Hand, Walker and Buckridge	Germany	Hamburg Bramfeld	22179	5361 Reindahl Road	4	5361 Reindahl Road 22179 Hamburg Bramfeld Germany	53.608181	10.07211876
248	248	Bechtelar-Grady	Germany	Frankfurt am Main	60549	2299 New Castle Junction	4	2299 New Castle Junction 60549 Frankfurt am Main Germany	38.58634057	-82.6805408
249	249	Schoen Group	Germany	Stuttgart	70374	141 Sutherland Park	4	141 Sutherland Park 70374 Stuttgart Germany	49.355442	9.879235
250	250	Steuber, Terry and Okuneva	Germany	Nürnberg	90451	64 Kingsford Junction	4	64 Kingsford Junction 90451 Nürnberg Germany	49.400645	11.086162
251	251	Grady, Rodriguez and Schmidt	Germany	Dresden	1462	76 Messerschmidt Plaza	4	76 Messerschmidt Plaza 1462 Dresden Germany	51.012536	13.78055
252	252	Murphy-Fay	Germany	Essen	45141	712 Luster Park	4	712 Luster Park 45141 Essen Germany	52.45852709	8.37982919
253	253	Jacobson Group	Germany	Hamburg	22041	7 Bartelt Junction	4	7 Bartelt Junction 22041 Hamburg Germany	53.587156	10.064259
254	254	Welch-Lindgren	Belgium	Tournai	7536	6977 American Lane	4	6977 American Lane 7536 Tournai Belgium	50.57034908	3.52482649
255	255	Frami, Blick and Goodwin	Belgium	Bouillon	6834	09273 Stuart Parkway	4	09273 Stuart Parkway 6834 Bouillon Belgium	49.83944321	5.11235952
256	256	Kris and Sons	Germany	Neuss	41468	831 Sugar Parkway	4	831 Sugar Parkway 41468 Neuss Germany	40.37095631	-79.02785066
257	257	Lang Inc	Germany	Osnabrück	49082	7284 Graceland Terrace	4	7284 Graceland Terrace 49082 Osnabrück Germany	52.24473953	8.05034447
258	258	Spencer, Stroman and Walsh	Germany	Hamburg	22041	94 Commercial Way	4	94 Commercial Way 22041 Hamburg Germany	53.570386	10.041739
259	259	Bartell, Turcotte and Braun	Germany	Frankfurt am Main	60325	15 Barnett Terrace	4	15 Barnett Terrace 60325 Frankfurt am Main Germany	50.101253	8.637984
260	260	Greenholt-O'Kon	Belgium	Charleroi	6042	17 Ridge Oak Parkway	4	17 Ridge Oak Parkway 6042 Charleroi Belgium	43.163921	-76.345844
261	261	Boehm-Bayer	Belgium	Antwerpen	2170	6 Crowley Place	4	6 Crowley Place 2170 Antwerpen Belgium	51.2396293	4.4381805
262	262	Green-Muller	Germany	Bremen	28355	9 Alpine Hill	4	9 Alpine Hill 28355 Bremen Germany	53.073524	8.831232
263	263	Dare and Sons	Germany	Stuttgart	70374	4 Corscot Lane	4	4 Corscot Lane 70374 Stuttgart Germany	48.79908	9.224458
264	264	Ruecker-Tillman	Germany	Berlin	12683	66928 Mcbride Terrace	4	66928 Mcbride Terrace 12683 Berlin Germany	52.50899506	13.5531559
265	265	Gislason LLC	Germany	Hamburg Harvestehude	20249	26 Becker Terrace	4	26 Becker Terrace 20249 Hamburg Harvestehude Germany	53.586996	9.97969
266	266	Spencer and Sons	Belgium	Bouillon	6834	370 Sachs Terrace	4	370 Sachs Terrace 6834 Bouillon Belgium	50.444085	3.463422
267	267	Johnson Inc	Germany	München	80804	47903 Alpine Place	4	47903 Alpine Place 80804 München Germany	48.11809137	11.58131789
268	268	Prohaska Group	Germany	Dortmund	44369	2899 Hoard Street	4	2899 Hoard Street 44369 Dortmund Germany	51.53128433	7.41382313
269	269	Koch, Hackett and Skiles	Germany	Hanau	63456	34049 Rusk Plaza	4	34049 Rusk Plaza 63456 Hanau Germany	50.1125946	8.90823078
270	270	Hirthe-McClure	Germany	Frankfurt am Main	60325	505 Maryland Place	4	505 Maryland Place 60325 Frankfurt am Main Germany	50.151244	8.679425
271	271	Koepp, Schuster and Von	Germany	Hannover	30453	49 Judy Drive	4	49 Judy Drive 30453 Hannover Germany	52.377474	9.689855
272	272	Nitzsche LLC	Belgium	Péruwelz	7604	23348 Gina Road	4	23348 Gina Road 7604 Péruwelz Belgium	50.55483627	3.53454208
273	273	Bednar, Rau and Frami	Germany	Leipzig	4109	89 Grover Park	4	89 Grover Park 4109 Leipzig Germany	51.33389795	12.48014835
274	274	King, Kulas and Tillman	Germany	Remscheid	42897	931 Muir Parkway	4	931 Muir Parkway 42897 Remscheid Germany	40.28707504	-79.16890654
275	275	Hauck, Breitenberg and Crooks	Germany	Hamburg	22769	545 East Crossing	4	545 East Crossing 22769 Hamburg Germany	53.670738	10.001968
276	276	Becker and Sons	Germany	Freiburg im Breisgau	79114	64138 Menomonie Circle	4	64138 Menomonie Circle 79114 Freiburg im Breisgau Germany	47.99278828	7.84182057
277	277	Luettgen-Kuhlman	Germany	Bremerhaven	27576	570 Memorial Circle	4	570 Memorial Circle 27576 Bremerhaven Germany	34.30994466	-83.82394037
278	278	Gibson LLC	Germany	Hamburg	22453	76998 Summit Park	4	76998 Summit Park 22453 Hamburg Germany	53.55360705	9.8810702
279	279	Predovic, Yundt and Halvorson	Germany	Mannheim	68239	53 Hoffman Street	4	53 Hoffman Street 68239 Mannheim Germany	49.441219	8.583651
280	280	Herzog Group	Germany	Leipzig	4317	62965 Judy Plaza	4	62965 Judy Plaza 4317 Leipzig Germany	51.33969116	12.37135601
281	281	Huel, Smitham and Schumm	Germany	Essen	45141	537 Crownhardt Terrace	4	537 Crownhardt Terrace 45141 Essen Germany	51.4496602	7.0671494
282	282	Lowe and Sons	Germany	Kiel	24109	2 Lien Way	4	2 Lien Way 24109 Kiel Germany	54.355495	10.086922
283	283	Auer, Witting and Schmidt	Germany	Hamburg	20359	8943 Roxbury Trail	4	8943 Roxbury Trail 20359 Hamburg Germany	39.54299347	-82.86425256
284	284	McKenzie LLC	Germany	Hamburg	22339	7 Barby Pass	4	7 Barby Pass 22339 Hamburg Germany	53.611006	10.508554
285	285	Ferry-Green	Germany	Kassel	34132	9473 Lighthouse Bay Point	4	9473 Lighthouse Bay Point 34132 Kassel Germany	39.60645445	-84.17356661
286	286	Beahan Group	Germany	Hanau	63456	1 Jay Junction	4	1 Jay Junction 63456 Hanau Germany	50.131548	8.915878
287	287	Lowe, Moen and Schmeler	Germany	Augsburg	86156	76 Mariners Cove Way	4	76 Mariners Cove Way 86156 Augsburg Germany	40.82603707	-73.97231147
288	288	Parker Group	Germany	Braunschweig	38126	5 Garrison Avenue	4	5 Garrison Avenue 38126 Braunschweig Germany	52.2798136	10.5662186
289	289	Williamson LLC	Germany	Bremen	28239	5 Meadow Valley Crossing	4	5 Meadow Valley Crossing 28239 Bremen Germany	33.77695918	-85.0532461
290	290	Blanda, Abernathy and Veum	Germany	Osnabrück	49082	3 Ruskin Hill	4	3 Ruskin Hill 49082 Osnabrück Germany	52.24473953	8.05034447
291	291	Koss Group	Germany	Hamburg	22111	4 Muir Place	4	4 Muir Place 22111 Hamburg Germany	53.569066	10.068025
292	292	Klocko Inc	Germany	Wuppertal	42349	11 High Crossing Court	4	11 High Crossing Court 42349 Wuppertal Germany	34.80227523	-83.89799123
293	293	Ritchie Group	Germany	Bremen	28355	87 3rd Terrace	4	87 3rd Terrace 28355 Bremen Germany	53.083137	8.939634
294	294	Prohaska LLC	Germany	Berlin	10715	7010 Prentice Circle	4	7010 Prentice Circle 10715 Berlin Germany	42.24345608	-76.18922716
295	295	Quitzon LLC	Germany	Leipzig	4109	45 Eagle Crest Court	4	45 Eagle Crest Court 4109 Leipzig Germany	34.6547631	-84.54934832
296	296	Sauer-Romaguera	Germany	Bremen	28239	7 Susan Trail	4	7 Susan Trail 28239 Bremen Germany	53.114543	8.756158
297	297	Nikolaus-Nicolas	Germany	Offenbach	63073	1 Truax Parkway	4	1 Truax Parkway 63073 Offenbach Germany	50.090869	8.80179
298	298	Schmeler-Feil	Germany	Berlin	10715	2401 Iowa Road	4	2401 Iowa Road 10715 Berlin Germany	39.125196	-84.500811
299	299	Stracke, Lesch and Sawayn	Germany	Mainz	55124	870 Towne Park	4	870 Towne Park 55124 Mainz Germany	40.07122195	-76.72460206
300	300	Cormier, Lind and Turner	Belgium	Bruxelles	1170	9875 Schlimgen Junction	4	9875 Schlimgen Junction 1170 Bruxelles Belgium	50.82085015	4.35191936
301	301	Jacobs LLC	Germany	Hamburg	20359	4127 Carpenter Lane	4	4127 Carpenter Lane 20359 Hamburg Germany	42.48973455	-83.86584003
302	302	Tillman, Smitham and Lesch	Germany	Heilbronn	74080	31971 Dryden Way	4	31971 Dryden Way 74080 Heilbronn Germany	49.13300323	9.15668488
303	303	Bayer, Walsh and Leuschke	Germany	Berlin	13599	1 Division Circle	4	1 Division Circle 13599 Berlin Germany	44.18481123	-72.49657421
304	304	Mertz-O'Hara	Germany	Mönchengladbach	41199	788 Kedzie Street	4	788 Kedzie Street 41199 Mönchengladbach Germany	51.14900589	6.43956947
305	305	Murazik, Emard and Rogahn	Belgium	Ath	7823	80 Annamark Plaza	4	80 Annamark Plaza 7823 Ath Belgium	50.6243624	3.7741053
306	306	Schuppe, Wilkinson and Trantow	Germany	Berlin	12307	172 Mayer Plaza	4	172 Mayer Plaza 12307 Berlin Germany	52.500913	13.397752
307	307	Wunsch Inc	Germany	Nürnberg	90451	79988 Buena Vista Drive	4	79988 Buena Vista Drive 90451 Nürnberg Germany	34.52098519	-83.31203448
308	308	Kilback-Bins	Germany	Berlin	13409	0 Meadow Ridge Terrace	4	0 Meadow Ridge Terrace 13409 Berlin Germany	43.01441774	-88.09260229
309	309	Buckridge and Sons	Belgium	Bruxelles	1170	76 Sycamore Circle	4	76 Sycamore Circle 1170 Bruxelles Belgium	39.26963744	-80.2485884
310	310	Kris, Hand and Bogan	Germany	Berlin	10587	98 Wayridge Point	4	98 Wayridge Point 10587 Berlin Germany	39.9469526	-77.03196235
311	311	Ernser, Purdy and Donnelly	Germany	Köln	51107	800 Twin Pines Point	4	800 Twin Pines Point 51107 Köln Germany	39.92531119	-75.27875257
312	312	Ullrich Group	Germany	Wuppertal	42285	9719 Larry Point	4	9719 Larry Point 42285 Wuppertal Germany	38.79913045	-83.5379581
313	313	Ryan-Lesch	Germany	Duisburg	47239	79449 Almo Lane	4	79449 Almo Lane 47239 Duisburg Germany	51.39496231	6.65674353
314	314	O'Kon, Streich and Jacobs	Germany	Dresden	1189	80 Eggendart Road	4	80 Eggendart Road 1189 Dresden Germany	51.007963	13.779988
315	315	Bergnaum, Jenkins and Kessler	Germany	Würzburg	97078	96592 Linden Avenue	4	96592 Linden Avenue 97078 Würzburg Germany	49.5164455	9.97866585
316	316	Stroman LLC	Germany	Berlin	10179	3 Kennedy Center	4	3 Kennedy Center 10179 Berlin Germany	52.5042723	13.33676285
317	317	Greenholt Group	Germany	Hamburg	20249	0952 Starling Avenue	4	0952 Starling Avenue 20249 Hamburg Germany	53.56137505	10.04763465
318	318	Anderson-Spinka	Germany	Wuppertal	42349	32 Sherman Avenue	4	32 Sherman Avenue 42349 Wuppertal Germany	51.254833	7.139392
319	319	Crona, Howell and Bogan	Germany	Berlin	14199	50503 Warbler Center	4	50503 Warbler Center 14199 Berlin Germany	52.47579575	13.29004765
320	320	Russel-Weber	Germany	Wiesbaden	65191	0 Namekagon Hill	4	0 Namekagon Hill 65191 Wiesbaden Germany	50.08382034	8.28393841
321	321	Predovic-Leuschke	Belgium	Momignies	6594	37 Parkside Plaza	4	37 Parkside Plaza 6594 Momignies Belgium	50.0225219	4.1691932
322	322	McGlynn Inc	Germany	Würzburg	97078	06100 Buell Drive	4	06100 Buell Drive 97078 Würzburg Germany	49.8207016	9.96065044
323	323	Dibbert-Kshlerin	Germany	Berlin	10587	4 Arizona Place	4	4 Arizona Place 10587 Berlin Germany	52.496858	13.337289
324	324	Denesik-Monahan	Germany	Mainz	55124	16 Oakridge Trail	4	16 Oakridge Trail 55124 Mainz Germany	50.009208	8.228336
325	325	Nader, Rempel and Kuhlman	Germany	Aachen	52080	71 Dawn Drive	4	71 Dawn Drive 52080 Aachen Germany	50.779775	6.099504
326	326	Jacobson-Strosin	Germany	Gelsenkirchen	45886	07 Messerschmidt Point	4	07 Messerschmidt Point 45886 Gelsenkirchen Germany	51.500389	7.109923
327	327	Mann-Lowe	Germany	Berlin	12169	404 Jay Point	4	404 Jay Point 12169 Berlin Germany	52.571066	13.568631
328	328	Pollich-Boyle	Germany	Nürnberg	90451	2 Burrows Alley	4	2 Burrows Alley 90451 Nürnberg Germany	49.40093	11.08557
329	329	Auer, Mills and Hagenes	Germany	Münster	48161	35183 Elmside Terrace	4	35183 Elmside Terrace 48161 Münster Germany	51.96206284	7.58657932
330	330	Jast Inc	Belgium	Ath	7823	94258 Morrow Street	4	94258 Morrow Street 7823 Ath Belgium	50.63850784	3.88788533
331	331	Gislason Group	Germany	Remscheid	42897	26070 Schurz Street	4	26070 Schurz Street 42897 Remscheid Germany	51.19488647	7.27712132
332	332	Schamberger-Schmidt	Germany	Kiel	24109	3 Hermina Road	4	3 Hermina Road 24109 Kiel Germany	54.322144	10.120126
333	333	Ledner-Cummings	Germany	Hamburg	21037	25118 Menomonie Center	4	25118 Menomonie Center 21037 Hamburg Germany	53.41978073	10.20156193
334	334	Kozey, Rice and Cummerata	Germany	Hamburg	22041	52976 Green Place	4	52976 Green Place 22041 Hamburg Germany	53.57559586	10.08070755
335	335	Borer LLC	Germany	Berlin	13509	96473 Russell Center	4	96473 Russell Center 13509 Berlin Germany	52.58387375	13.30917835
336	336	Jakubowski Inc	Germany	Berlin	12169	2538 Northridge Drive	4	2538 Northridge Drive 12169 Berlin Germany	43.0643089	-88.0651954
337	337	Hansen Group	Germany	Aachen	52080	7 Clyde Gallagher Road	4	7 Clyde Gallagher Road 52080 Aachen Germany	50.79872894	6.12752104
338	338	Hahn, Hamill and Jaskolski	Belgium	Bouillon	6834	85134 Trailsway Point	4	85134 Trailsway Point 6834 Bouillon Belgium	49.78362285	5.0747421
339	339	Prohaska-Batz	Germany	Stuttgart	70190	01 Commercial Crossing	4	01 Commercial Crossing 70190 Stuttgart Germany	48.791056	9.210625
340	340	Conroy, Leannon and Padberg	Germany	Saarbrücken	66119	2 Tomscot Avenue	4	2 Tomscot Avenue 66119 Saarbrücken Germany	49.226472	7.041531
341	341	Blanda-Dicki	Germany	Köln	51107	688 Nobel Road	4	688 Nobel Road 51107 Köln Germany	51.0026578	6.9329192
342	342	Russel, Maggio and Rogahn	Germany	Chemnitz	9123	22392 Memorial Alley	4	22392 Memorial Alley 9123 Chemnitz Germany	50.83256531	12.92461395
343	343	Terry, Brakus and Satterfield	Germany	Berlin	13347	60788 Fremont Center	4	60788 Fremont Center 13347 Berlin Germany	52.5477562	13.36335182
344	344	Bruen-Smitham	Germany	Kassel	34132	8 Moose Way	4	8 Moose Way 34132 Kassel Germany	51.291116	9.472431
345	345	Borer Inc	Germany	Leipzig	4317	77387 Del Mar Parkway	4	77387 Del Mar Parkway 4317 Leipzig Germany	51.32523161	12.2708277
346	346	Fisher, Hegmann and Hackett	Belgium	Gent	9052	1417 Nelson Avenue	4	1417 Nelson Avenue 9052 Gent Belgium	51.0209119	3.7126925
347	347	Veum, Gusikowski and Thiel	Germany	Berlin	13347	3 Doe Crossing Trail	4	3 Doe Crossing Trail 13347 Berlin Germany	34.86699459	-83.53747128
348	348	Daniel-Mueller	Germany	Dortmund	44369	0 Clyde Gallagher Trail	4	0 Clyde Gallagher Trail 44369 Dortmund Germany	51.53128433	7.41382313
349	349	Wisoky, Walter and Purdy	Germany	Halle	6126	979 Pepper Wood Avenue	4	979 Pepper Wood Avenue 6126 Halle Germany	38.70336368	-82.36685733
350	350	Hudson-Robel	Germany	München	80337	9565 Little Fleur Circle	4	9565 Little Fleur Circle 80337 München Germany	48.19167089	11.59071435
351	351	Waters LLC	Germany	Hamburg Winterhude	22303	3026 Golf View Street	4	3026 Golf View Street 22303 Hamburg Winterhude Germany	44.875438	-93.457621
352	352	Schimmel-Nikolaus	Germany	Mannheim	68239	42707 Cottonwood Park	4	42707 Cottonwood Park 68239 Mannheim Germany	49.48682329	8.45573647
353	353	Kerluke Inc	Germany	Berlin	10409	268 Emmet Court	4	268 Emmet Court 10409 Berlin Germany	52.410574	13.543563
354	354	Kunde, Blanda and Metz	Belgium	Momignies	6594	0401 Ridgeway Pass	4	0401 Ridgeway Pass 6594 Momignies Belgium	42.95354388	-88.43107228
355	355	Stanton-Wisozk	Germany	Berlin	10823	3 Schmedeman Center	4	3 Schmedeman Center 10823 Berlin Germany	52.50462442	13.33685357
356	356	Monahan and Sons	Germany	Münster	48161	4324 Cascade Circle	4	4324 Cascade Circle 48161 Münster Germany	32.87241898	-97.30546539
357	357	Rippin, Hartmann and Carroll	Germany	Halle	6116	400 Milwaukee Drive	4	400 Milwaukee Drive 6116 Halle Germany	44.92396583	-93.39704933
358	358	Kovacek, Renner and Gibson	Germany	Köln	50935	5932 Novick Drive	4	5932 Novick Drive 50935 Köln Germany	39.79972033	-84.05675857
359	359	Friesen, Barton and Runolfsdottir	Germany	Dresden	1156	9883 Shelley Junction	4	9883 Shelley Junction 1156 Dresden Germany	51.05099106	13.73363304
360	360	Grimes Inc	Germany	Düsseldorf	40225	60 Beilfuss Plaza	4	60 Beilfuss Plaza 40225 Düsseldorf Germany	51.21363	6.778837
361	361	Konopelski LLC	Germany	Ludwigshafen am Rhein	67067	06838 Thompson Court	4	06838 Thompson Court 67067 Ludwigshafen am Rhein Germany	49.4452095	8.41831207
362	362	Turner LLC	Belgium	Tournai	7504	87048 Jana Trail	4	87048 Jana Trail 7504 Tournai Belgium	35.23230362	-106.62153625
363	363	Erdman-Dibbert	Germany	Hanau	63456	78273 Delaware Lane	4	78273 Delaware Lane 63456 Hanau Germany	50.1125946	8.90823078
364	364	Hane, Lynch and Yundt	Germany	Dresden	1189	8304 Towne Drive	4	8304 Towne Drive 1189 Dresden Germany	41.29686342	-88.26643706
365	365	Harvey, Walker and Fadel	Germany	Cottbus	3055	1589 Kingsford Place	4	1589 Kingsford Place 3055 Cottbus Germany	44.0764737	-77.3031024
366	366	Lebsack, Adams and Conroy	Germany	Hamburg Sankt Pauli	20459	7428 Bowman Trail	4	7428 Bowman Trail 20459 Hamburg Sankt Pauli Germany	53.54535845	9.96654225
367	367	Raynor, Bailey and Lebsack	Germany	Essen	45356	4149 Vernon Pass	4	4149 Vernon Pass 45356 Essen Germany	40.026939	-75.213665
368	368	Nikolaus, McCullough and Schimmel	Germany	Remscheid	42897	73 Waxwing Parkway	4	73 Waxwing Parkway 42897 Remscheid Germany	51.178719	7.154711
